year,state,population
2010,Aguascalientes,1184996
2010,Baja California,3155070
2010,Baja California Sur,637026
2010,Campeche,822441
2010,Coahuila,2748391
2010,Colima,650555
2010,Chiapas,4796580
2010,Chihuahua,3406465
2010,Ciudad de México,8851080
2010,Durango,1632934
2010,Guanajuato,5486372
2010,Guerrero,3388768
2010,Hidalgo,2665018
2010,Jalisco,7350682
2010,México,15175862
2010,Michoacán de Ocampo,4351037
2010,Morelos,1777227
2010,Nayarit,1084979
2010,Nuevo León,4653458
2010,Oaxaca,3801962
2010,Puebla,5779829
2010,Querétaro,1827937
2010,Quintana Roo,1325578
2010,San Luis Potosí,2585518
2010,Sinaloa,2767761
2010,Sonora,2662480
2010,Tabasco,2238603
2010,Tamaulipas,3268554
2010,Tlaxcala,1169936
2010,Veracruz,7643194
2010,Yucatán,1955577
2010,Zacatecas,1490668
