year,age,sex,people
1990,4,1,5160002
1990,9,1,5338285
1990,14,1,5230658
1990,19,1,4759892
1990,24,1,3738128
1990,29,1,3050595
1990,34,1,2578736
1990,39,1,2210565
1990,44,1,1705013
1990,49,1,1452573
1990,54,1,1161875
1990,59,1,918864
1990,64,1,769917
1990,69,1,567641
1990,74,1,394031
1990,79,1,277835
1990,84,1,179820
1990,89,1,99299
1990,94,1,38021
1990,99,1,15069
1990,104,1,7092
1990,4,2,5035176
1990,9,2,5223949
1990,14,2,5158434
1990,19,2,4904511
1990,24,2,4091035
1990,29,2,3353917
1990,34,2,2808883
1990,39,2,2368551
1990,44,2,1792757
1990,49,2,1519287
1990,54,2,1231916
1990,59,2,975620
1990,64,2,841400
1990,69,2,616010
1990,74,2,432996
1990,79,2,313001
1990,84,2,222012
1990,89,2,126151
1990,94,2,53168
1990,99,2,22620
1990,104,2,12075
1995,4,1,5449356
1995,9,1,5515644
1995,14,1,5404261
1995,19,1,5022243
1995,24,1,4538686
1995,29,1,3652995
1995,34,1,3152462
1995,39,1,2804296
1995,44,1,2173041
1995,49,1,1763505
1995,54,1,1418508
1995,59,1,1083293
1995,64,1,929650
1995,69,1,674004
1995,74,1,521069
1995,79,1,317553
1995,84,1,193923
1995,89,1,112158
1995,94,1,44789
1995,99,1,20716
1995,104,1,5137
1995,4,2,5274744
1995,9,2,5351919
1995,14,2,5265787
1995,19,2,5119828
1995,24,2,4858738
1995,29,2,3960095
1995,34,2,3412143
1995,39,2,3015882
1995,44,2,2261276
1995,49,2,1848947
1995,54,2,1477541
1995,59,2,1148604
1995,64,2,1012303
1995,69,2,751805
1995,74,2,558734
1995,79,2,348643
1995,84,2,240197
1995,89,2,140644
1995,94,2,60361
1995,99,2,29048
1995,104,2,8909
2000,4,1,5401306
2000,9,1,5677711
2000,14,1,5435737
2000,19,1,4909648
2000,24,1,4303600
2000,29,1,3861482
2000,34,1,3383356
2000,39,1,3023328
2000,44,1,2494771
2000,49,1,1957177
2000,54,1,1624033
2000,59,1,1234072
2000,64,1,1045404
2000,69,1,779666
2000,74,1,589106
2000,79,1,411197
2000,84,1,217330
2000,89,1,125041
2000,94,1,50843
2000,99,1,25741
2000,104,1,8029
2000,4,2,5233851
2000,9,2,5537612
2000,14,2,5300756
2000,19,2,5082487
2000,24,2,4767534
2000,29,2,4296261
2000,34,2,3753167
2000,39,2,3329210
2000,44,2,2700062
2000,49,2,2114914
2000,54,2,1733920
2000,59,2,1325159
2000,64,2,1152742
2000,69,2,881119
2000,74,2,656568
2000,79,2,454073
2000,84,2,266546
2000,89,2,165010
2000,94,2,71163
2000,99,2,37151
2000,104,2,11728
2005,4,1,5175913
2005,9,1,5339127
2005,14,1,5545910
2005,19,1,4995906
2005,24,1,4253440
2005,29,1,3805724
2005,34,1,3745974
2005,39,1,3371372
2005,44,1,2871549
2005,49,1,2388149
2005,54,1,1959720
2005,59,1,1497981
2005,64,1,1243788
2005,69,1,922592
2005,74,1,703277
2005,79,1,490840
2005,84,1,296351
2005,89,1,150617
2005,94,1,54391
2005,99,1,24439
2005,104,1,6696
2005,4,2,5010330
2005,9,2,5172611
2005,14,2,5406213
2005,19,2,5113115
2005,24,2,4711189
2005,29,2,4297634
2005,34,2,4187977
2005,39,2,3741154
2005,44,2,3145719
2005,49,2,2627106
2005,54,2,2130930
2005,59,2,1619090
2005,64,2,1378688
2005,69,2,1035477
2005,74,2,793414
2005,79,2,557475
2005,84,2,360660
2005,89,2,194537
2005,94,2,77934
2005,99,2,36706
2005,104,2,10953
2010,4,1,5346943
2010,9,1,5604175
2010,14,1,5547613
2010,19,1,5520121
2010,24,1,4813204
2010,29,1,4205975
2010,34,1,4026031
2010,39,1,3964738
2010,44,1,3350322
2010,49,1,2824364
2010,54,1,2402451
2010,59,1,1869537
2010,64,1,1476667
2010,69,1,1095273
2010,74,1,873893
2010,79,1,579689
2010,84,1,355277
2010,89,1,197461
2010,94,1,68130
2010,99,1,25920
2010,104,1,7228
2010,4,2,5181379
2010,9,2,5443362
2010,14,2,5392324
2010,19,2,5505991
2010,24,2,5079067
2010,29,2,4582202
2010,34,2,4444767
2010,39,2,4328249
2010,44,2,3658904
2010,49,2,3104366
2010,54,2,2661840
2010,59,2,2025828
2010,64,2,1639799
2010,69,2,1221992
2010,74,2,1000041
2010,79,2,665794
2010,84,2,443659
2010,89,2,256703
2010,94,2,96794
2010,99,2,39812
2010,104,2,11247
